buyer,category,n_tenders,technology_score
"Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.",Other,159,0
Jefatura de Asuntos Económicos del Mando de Personal,Other,158,0
Intendente de Cartagena,Other,155,0
Junta de Gobierno del Ayuntamiento de Almería,Other,155,0
Jefatura de Asuntos Económicos de la Guardia Civil,Other,154,0
Consejería Delegada de la Empresa Metropolitana de Abastecimiento y Saneamiento de Aguas de Sevilla S.A. (EMASESA),Other,152,0
"Metro de Madrid, S.A.",Other,152,0
Rectorado de la Universidad de Sevilla,Other,152,0
Dirección Provincial de Educación en Salamanca,Other,150,0
Gerencia de Servicios Sanitarios del Área de Salud de Lanzarote,Other,150,0
Intendencia de Madrid,Other,149,0
Gerencia de Fraternidad Muprespa - Mútua Colaboradora con la Seguridad Social nº 275,Other,145,0
Presidencia de la Diputación Provincial de Granada,Other,143,0
Alcaldía del Ayuntamiento de Guadalajara,Other,142,0
Servicio de Contratación y Compras del Ayuntamiento de San Bartolomé de Tirajana,Other,140,0
Intendente de las Palmas,Other,139,0
Presidencia de la Diputación Provincial de A Coruña,Other,139,0
Junta de Gobierno del Ayuntamiento de Albacete,Other,138,0
Gerencia de la Empresa Municipal de Aguas y Saneamiento de Murcia S.A.,Other,137,0
Junta de Gobierno del Ayuntamiento de Oviedo,Other,137,0
Presidencia del Cabildo Insular de Lanzarote,Other,137,0
Dirección General de Planificación Económica,Other,135,0
Aena. Consejo de Administración,Other,134,0
Dirección de la Fundación para la Internacionalización de las Administraciones Públicas,Other,134,0
"Consejo de Administración de ICEX España Exportación e Inversiones, E.P.E.",Other,133,0
Junta de Gobierno del Ayuntamiento de Córdoba,Other,132,0
"Consejería Delegada de Gestión y Planeamiento Territorial y Medioambiental, S.A.",Other,131,0
Presidencia de la Autoridad Portuaria de Baleares,Other,131,0
Aena. Dirección del Aeropuerto de Málaga-Costa del Sol,Other,130,0
Dirección General de Carreteras,Other,130,0
Comité de Dirección de Equipos Nucleares S.A.,Other,129,0
Jefatura de Intendencia de Asuntos Económicos Centro,Other,129,0
"ENUSA Industrias Avanzadas S.A., S.M.E.",Other,127,0
"Empresa Nacional de Residuos Radiactivos, S.A., S.M.E. (ENRESA)",Other,126,0
Presidencia de la Fundación Municipal de Cultura,Other,126,0
Alcaldía del Ayuntamiento de Algeciras,Other,125,0
Alcaldía del Ayuntamiento de Badajoz,Other,125,0
Gerencia Sector Sanitario de Zaragoza 3,Other,125,0
Dirección General del INTA,Other,124,0
Dirección General de la Asociación CIC nanoGUNE,Other,123,0
Sección de Asuntos Económicos de la Dirección de Infraestructura,Other,122,0
Servicio Murciano de Salud - Gerencia,Other,122,0
Dirección General Económico-Financiera de la Entidad Pública Empresarial RENFE-Operadora,Other,121,0
"Jefatura de Unidad de Medios Internos -Área de Compras de la Compañía Española de Seguros de Crédito a la Exportación S.A., S.M.E. (CESCE)",Other,121,0
Compras de la Corporación de Radio y Televisión Española S.A.,Other,120,0
